               matmul_parallel n= 250, m= 250, k= 250:   23ms (1.341490 GFLOP/s, 5117.376671 MiB/s)
      matmul_locality_parallel n= 250, m= 250, k= 250:   14ms (2.297625 GFLOP/s, 8764.744471 MiB/s)
     matmul_transpose_parallel n= 250, m= 250, k= 250:   17ms (1.851413 GFLOP/s, 7062.580103 MiB/s)
               matmul_parallel n= 500, m= 500, k= 500:   84ms (2.984611 GFLOP/s, 11385.388733 MiB/s)
      matmul_locality_parallel n= 500, m= 500, k= 500:   59ms (4.219694 GFLOP/s, 16096.855761 MiB/s)
     matmul_transpose_parallel n= 500, m= 500, k= 500:   77ms (3.245742 GFLOP/s, 12381.521557 MiB/s)
               matmul_parallel n= 750, m= 750, k= 750:  185ms (4.560096 GFLOP/s, 17395.385685 MiB/s)
      matmul_locality_parallel n= 750, m= 750, k= 750:  144ms (5.847720 GFLOP/s, 22307.282138 MiB/s)
     matmul_transpose_parallel n= 750, m= 750, k= 750:  189ms (4.473114 GFLOP/s, 17063.574238 MiB/s)
               matmul_parallel n=1000, m=1000, k=1000:  381ms (5.242491 GFLOP/s, 19998.517767 MiB/s)
      matmul_locality_parallel n=1000, m=1000, k=1000:  332ms (6.018730 GFLOP/s, 22959.633975 MiB/s)
     matmul_transpose_parallel n=1000, m=1000, k=1000:  384ms (5.208618 GFLOP/s, 19869.301528 MiB/s)
               matmul_parallel n=1250, m=1250, k=1250: 2077ms (1.880304 GFLOP/s, 7172.789229 MiB/s)
      matmul_locality_parallel n=1250, m=1250, k=1250:  926ms (4.218340 GFLOP/s, 16091.688690 MiB/s)
     matmul_transpose_parallel n=1250, m=1250, k=1250:  917ms (4.258937 GFLOP/s, 16246.554629 MiB/s)
               matmul_parallel n=1500, m=1500, k=1500: 2626ms (2.570133 GFLOP/s, 9804.280183 MiB/s)
      matmul_locality_parallel n=1500, m=1500, k=1500: 1572ms (4.293522 GFLOP/s, 16378.485413 MiB/s)
     matmul_transpose_parallel n=1500, m=1500, k=1500: 1411ms (4.782570 GFLOP/s, 18244.057421 MiB/s)
               matmul_parallel n=1750, m=1750, k=1750: 5492ms (1.951618 GFLOP/s, 7444.830117 MiB/s)
      matmul_locality_parallel n=1750, m=1750, k=1750: 2441ms (4.391240 GFLOP/s, 16751.252824 MiB/s)
     matmul_transpose_parallel n=1750, m=1750, k=1750: 2305ms (4.650945 GFLOP/s, 17741.948442 MiB/s)
               matmul_parallel n=2000, m=2000, k=2000: 3660ms (4.371142 GFLOP/s, 16674.581962 MiB/s)
      matmul_locality_parallel n=2000, m=2000, k=2000: 2895ms (5.526530 GFLOP/s, 21082.037967 MiB/s)
     matmul_transpose_parallel n=2000, m=2000, k=2000: 2475ms (6.465584 GFLOP/s, 24664.246753 MiB/s)
               matmul_parallel n=2250, m=2250, k=2250: 9687ms (2.351839 GFLOP/s, 8971.554433 MiB/s)
      matmul_locality_parallel n=2250, m=2250, k=2250: 6082ms (3.745531 GFLOP/s, 14288.067846 MiB/s)
     matmul_transpose_parallel n=2250, m=2250, k=2250: 4589ms (4.964772 GFLOP/s, 18939.103387 MiB/s)
               matmul_parallel n=2500, m=2500, k=2500: 8953ms (3.490319 GFLOP/s, 13314.509389 MiB/s)
      matmul_locality_parallel n=2500, m=2500, k=2500: 6072ms (5.146946 GFLOP/s, 19634.039733 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4573ms (4.964777 GFLOP/s, 18939.103387 MiB/s)
