     matmul_transpose_parallel n=2500, m=2500, k=2500: 19321ms (1.617373 GFLOP/s, 6169.787793 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 11311ms (2.762715 GFLOP/s, 10538.923085 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 9521ms (3.282080 GFLOP/s, 12520.141684 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 7755ms (4.029686 GFLOP/s, 15372.031498 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 6772ms (4.614522 GFLOP/s, 17603.004556 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 6200ms (5.040058 GFLOP/s, 19226.293835 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 5677ms (5.504588 GFLOP/s, 20998.338504 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 5392ms (5.795646 GFLOP/s, 22108.633871 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 5274ms (5.925812 GFLOP/s, 22605.178335 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 5096ms (6.132231 GFLOP/s, 23392.602970 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4989ms (6.264352 GFLOP/s, 23896.605032 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4814ms (6.492020 GFLOP/s, 24765.090581 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4798ms (6.514532 GFLOP/s, 24838.696705 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4780ms (6.537530 GFLOP/s, 24938.696705 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4744ms (6.587083 GFLOP/s, 25127.729250 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4499ms (6.946010 GFLOP/s, 26496.923874 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4506ms (6.934736 GFLOP/s, 26453.917749 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4499ms (6.946481 GFLOP/s, 26498.720303 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4405ms (7.094614 GFLOP/s, 27063.803746 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4386ms (7.124925 GFLOP/s, 27179.432416 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4382ms (7.131616 GFLOP/s, 27204.956382 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4234ms (7.380762 GFLOP/s, 28155.373797 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4234ms (7.380630 GFLOP/s, 28154.868417 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4127ms (7.571246 GFLOP/s, 28882.011531 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4028ms (7.759090 GFLOP/s, 29598.580558 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4111ms (7.601564 GFLOP/s, 28997.666150 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4167ms (7.499499 GFLOP/s, 28608.318457 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4061ms (7.694236 GFLOP/s, 29351.180074 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4103ms (7.615823 GFLOP/s, 29052.060196 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4133ms (7.561342 GFLOP/s, 28844.232365 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3914ms (7.984824 GFLOP/s, 30459.688147 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3986ms (7.839586 GFLOP/s, 29905.646396 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3897ms (8.018495 GFLOP/s, 30588.131486 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 4013ms (7.786784 GFLOP/s, 29704.224187 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3874ms (8.066860 GFLOP/s, 30772.629557 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3895ms (8.022213 GFLOP/s, 30602.312746 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3772ms (8.285551 GFLOP/s, 31606.869173 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3735ms (8.365748 GFLOP/s, 31912.795324 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3753ms (8.326481 GFLOP/s, 31763.005045 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3740ms (8.355367 GFLOP/s, 31873.195622 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3730ms (8.378719 GFLOP/s, 31962.277143 MiB/s)
     matmul_transpose_parallel n=2500, m=2500, k=2500: 3724ms (8.391886 GFLOP/s, 32012.505804 MiB/s)


               matmul_locality n=2500, m=2500, k=2500: 20380ms (1.533388 GFLOP/s, 5849.411069 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19446ms (1.607001 GFLOP/s, 6130.220710 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19426ms (1.608644 GFLOP/s, 6136.489684 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19703ms (1.586074 GFLOP/s, 6050.391753 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19415ms (1.609607 GFLOP/s, 6140.162472 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19413ms (1.609781 GFLOP/s, 6140.825750 MiB/s)
               matmul_locality n=2500, m=2500, k=2500: 19427ms (1.608624 GFLOP/s, 6136.413557 MiB/s)
