     matmul_transpose_parallel n=  50, m=2000, k=2000:  255ms (1.565693 GFLOP/s, 5972.643070 MiB/s)
     matmul_transpose_parallel n= 100, m=2000, k=2000:  334ms (2.394744 GFLOP/s, 9135.221626 MiB/s)
     matmul_transpose_parallel n= 150, m=2000, k=2000:  361ms (3.319906 GFLOP/s, 12664.436940 MiB/s)
     matmul_transpose_parallel n= 200, m=2000, k=2000:  397ms (4.027761 GFLOP/s, 15364.690190 MiB/s)
     matmul_transpose_parallel n= 250, m=2000, k=2000:  423ms (4.728658 GFLOP/s, 18038.397957 MiB/s)
     matmul_transpose_parallel n= 300, m=2000, k=2000:  470ms (5.104200 GFLOP/s, 19470.978236 MiB/s)
     matmul_transpose_parallel n= 350, m=2000, k=2000:  537ms (5.209651 GFLOP/s, 19873.242382 MiB/s)
     matmul_transpose_parallel n= 400, m=2000, k=2000:  549ms (5.825734 GFLOP/s, 22223.411896 MiB/s)
     matmul_transpose_parallel n= 450, m=2000, k=2000:  554ms (6.499251 GFLOP/s, 24792.674182 MiB/s)
     matmul_transpose_parallel n= 500, m=2000, k=2000:  607ms (6.588114 GFLOP/s, 25131.661922 MiB/s)
     matmul_transpose_parallel n= 550, m=2000, k=2000:  645ms (6.825070 GFLOP/s, 26035.577182 MiB/s)
     matmul_transpose_parallel n= 600, m=2000, k=2000:  705ms (6.810636 GFLOP/s, 25980.514309 MiB/s)
     matmul_transpose_parallel n= 650, m=2000, k=2000:  746ms (6.965887 GFLOP/s, 26572.751031 MiB/s)
     matmul_transpose_parallel n= 700, m=2000, k=2000:  785ms (7.137968 GFLOP/s, 27229.187008 MiB/s)
     matmul_transpose_parallel n= 750, m=2000, k=2000:  790ms (7.599631 GFLOP/s, 28990.292223 MiB/s)
     matmul_transpose_parallel n= 800, m=2000, k=2000:  859ms (7.450160 GFLOP/s, 28420.103441 MiB/s)
     matmul_transpose_parallel n= 850, m=2000, k=2000:  905ms (7.510285 GFLOP/s, 28649.464513 MiB/s)
     matmul_transpose_parallel n= 900, m=2000, k=2000:  881ms (8.172568 GFLOP/s, 31175.874025 MiB/s)
     matmul_transpose_parallel n= 950, m=2000, k=2000:  937ms (8.114353 GFLOP/s, 30953.798605 MiB/s)
     matmul_transpose_parallel n=1000, m=2000, k=2000:  969ms (8.255678 GFLOP/s, 31492.913661 MiB/s)
     matmul_transpose_parallel n=1050, m=2000, k=2000: 1030ms (8.155839 GFLOP/s, 31112.055428 MiB/s)
     matmul_transpose_parallel n=1100, m=2000, k=2000: 1129ms (7.793059 GFLOP/s, 29728.160340 MiB/s)
     matmul_transpose_parallel n=1150, m=2000, k=2000: 1077ms (8.538679 GFLOP/s, 32572.476536 MiB/s)
     matmul_transpose_parallel n=1200, m=2000, k=2000: 1092ms (8.794438 GFLOP/s, 33548.119548 MiB/s)
     matmul_transpose_parallel n=1250, m=2000, k=2000: 1146ms (8.725349 GFLOP/s, 33284.563860 MiB/s)
     matmul_transpose_parallel n=1300, m=2000, k=2000: 1189ms (8.747148 GFLOP/s, 33367.720470 MiB/s)
     matmul_transpose_parallel n=1350, m=2000, k=2000: 1261ms (8.561325 GFLOP/s, 32658.862492 MiB/s)
     matmul_transpose_parallel n=1400, m=2000, k=2000: 1230ms (9.106868 GFLOP/s, 34739.945550 MiB/s)
     matmul_transpose_parallel n=1450, m=2000, k=2000: 1244ms (9.324084 GFLOP/s, 35568.558771 MiB/s)
     matmul_transpose_parallel n=1500, m=2000, k=2000: 1266ms (9.475589 GFLOP/s, 36146.504603 MiB/s)
     matmul_transpose_parallel n=1550, m=2000, k=2000: 1304ms (9.509217 GFLOP/s, 36274.784236 MiB/s)
     matmul_transpose_parallel n=1600, m=2000, k=2000: 1399ms (9.151931 GFLOP/s, 34911.844743 MiB/s)
     matmul_transpose_parallel n=1650, m=2000, k=2000: 1385ms (9.529461 GFLOP/s, 36352.009566 MiB/s)
     matmul_transpose_parallel n=1700, m=2000, k=2000: 1431ms (9.505770 GFLOP/s, 36261.634302 MiB/s)
     matmul_transpose_parallel n=1750, m=2000, k=2000: 1444ms (9.696466 GFLOP/s, 36989.082277 MiB/s)
     matmul_transpose_parallel n=1800, m=2000, k=2000: 1483ms (9.713008 GFLOP/s, 37052.183555 MiB/s)
     matmul_transpose_parallel n=1850, m=2000, k=2000: 1495ms (9.902335 GFLOP/s, 37774.409778 MiB/s)
     matmul_transpose_parallel n=1900, m=2000, k=2000: 1517ms (10.018019 GFLOP/s, 38215.710652 MiB/s)
     matmul_transpose_parallel n=1950, m=2000, k=2000: 1590ms (9.813469 GFLOP/s, 37435.411866 MiB/s)
     matmul_transpose_parallel n=2000, m=2000, k=2000: 1720ms (9.301514 GFLOP/s, 35482.461559 MiB/s)
     matmul_transpose_parallel n=2050, m=2000, k=2000: 1683ms (9.746374 GFLOP/s, 37179.467691 MiB/s)


     matmul_locality n=  50, m=2000, k=2000:  186ms (2.156206 GFLOP/s, 8225.274546 MiB/s)
     matmul_locality n= 100, m=2000, k=2000:  363ms (2.201207 GFLOP/s, 8396.937605 MiB/s)
     matmul_locality n= 150, m=2000, k=2000:  540ms (2.223618 GFLOP/s, 8482.430116 MiB/s)
     matmul_locality n= 200, m=2000, k=2000:  715ms (2.237040 GFLOP/s, 8533.628471 MiB/s)
     matmul_locality n= 250, m=2000, k=2000:  893ms (2.238932 GFLOP/s, 8540.848232 MiB/s)
     matmul_locality n= 300, m=2000, k=2000: 1071ms (2.239918 GFLOP/s, 8544.607433 MiB/s)
     matmul_locality n= 350, m=2000, k=2000: 1302ms (2.150067 GFLOP/s, 8201.854697 MiB/s)
     matmul_locality n= 400, m=2000, k=2000: 1438ms (2.224561 GFLOP/s, 8486.027149 MiB/s)
     matmul_locality n= 450, m=2000, k=2000: 1609ms (2.236999 GFLOP/s, 8533.473367 MiB/s)
     matmul_locality n= 500, m=2000, k=2000: 1787ms (2.237772 GFLOP/s, 8536.423694 MiB/s)
     matmul_locality n= 550, m=2000, k=2000: 1967ms (2.236969 GFLOP/s, 8533.360568 MiB/s)
     matmul_locality n= 600, m=2000, k=2000: 2145ms (2.237765 GFLOP/s, 8536.397429 MiB/s)
     matmul_locality n= 650, m=2000, k=2000: 2324ms (2.237868 GFLOP/s, 8536.789598 MiB/s)
     matmul_locality n= 700, m=2000, k=2000: 2500ms (2.240185 GFLOP/s, 8545.626035 MiB/s)
     matmul_locality n= 750, m=2000, k=2000: 2680ms (2.238416 GFLOP/s, 8538.879081 MiB/s)
     matmul_locality n= 800, m=2000, k=2000: 2860ms (2.237869 GFLOP/s, 8536.794420 MiB/s)
     matmul_locality n= 850, m=2000, k=2000: 3038ms (2.238464 GFLOP/s, 8539.060664 MiB/s)
     matmul_locality n= 900, m=2000, k=2000: 3217ms (2.238063 GFLOP/s, 8537.534441 MiB/s)
     matmul_locality n= 950, m=2000, k=2000: 3397ms (2.237271 GFLOP/s, 8534.513362 MiB/s)
     matmul_locality n=1000, m=2000, k=2000: 3574ms (2.238278 GFLOP/s, 8538.351102 MiB/s)
     matmul_locality n=1000, m=2000, k=2000: 3563ms (2.245539 GFLOP/s, 8566.051583 MiB/s)
     matmul_locality n=1050, m=2000, k=2000: 3739ms (2.246743 GFLOP/s, 8570.642946 MiB/s)
     matmul_locality n=1100, m=2000, k=2000: 4293ms (2.049804 GFLOP/s, 7819.380600 MiB/s)
     matmul_locality n=1150, m=2000, k=2000: 4119ms (2.233617 GFLOP/s, 8520.572302 MiB/s)
     matmul_locality n=1200, m=2000, k=2000: 4290ms (2.237694 GFLOP/s, 8536.126819 MiB/s)
     matmul_locality n=1250, m=2000, k=2000: 4470ms (2.237175 GFLOP/s, 8534.145366 MiB/s)
     matmul_locality n=1300, m=2000, k=2000: 4644ms (2.239688 GFLOP/s, 8543.731536 MiB/s)
     matmul_locality n=1350, m=2000, k=2000: 4825ms (2.238305 GFLOP/s, 8538.455418 MiB/s)
     matmul_locality n=1400, m=2000, k=2000: 5005ms (2.237571 GFLOP/s, 8535.655567 MiB/s)
     matmul_locality n=1450, m=2000, k=2000: 5198ms (2.231610 GFLOP/s, 8512.916362 MiB/s)
     matmul_locality n=1500, m=2000, k=2000: 5375ms (2.232620 GFLOP/s, 8516.767938 MiB/s)
