             transpose_blocked n=20000, m=20000: 1306ms (2337.320685 MiB/s)
    transpose_blocked_parallel n=20000, m=20000: 1295ms (2355.689312 MiB/s)
             transpose_blocked n=20000, m=20000: 1302ms (2344.276318 MiB/s)
    transpose_blocked_parallel n=20000, m=20000: 1040ms (2935.438141 MiB/s)
             transpose_blocked n=20000, m=20000: 1303ms (2341.955575 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  824ms (3701.473809 MiB/s)
             transpose_blocked n=20000, m=20000: 1304ms (2339.962331 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  710ms (4298.371521 MiB/s)
             transpose_blocked n=20000, m=20000: 1302ms (2344.414989 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  635ms (4808.674283 MiB/s)
             transpose_blocked n=20000, m=20000: 1304ms (2339.815217 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  583ms (5236.228608 MiB/s)
             transpose_blocked n=20000, m=20000: 1303ms (2342.448124 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  549ms (5561.441885 MiB/s)
             transpose_blocked n=20000, m=20000: 1302ms (2343.538219 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  530ms (5760.402982 MiB/s)
             transpose_blocked n=20000, m=20000: 1302ms (2344.085448 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  508ms (6006.616881 MiB/s)
             transpose_blocked n=20000, m=20000: 1175ms (2597.647472 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  514ms (5932.182335 MiB/s)
             transpose_blocked n=20000, m=20000: 1174ms (2598.370706 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  505ms (6041.338173 MiB/s)
             transpose_blocked n=20000, m=20000: 1604ms (1902.409502 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  763ms (3997.487373 MiB/s)
             transpose_blocked n=20000, m=20000: 1174ms (2600.228188 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  492ms (6200.617292 MiB/s)
             transpose_blocked n=20000, m=20000: 1176ms (2594.074816 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  503ms (6071.869044 MiB/s)
             transpose_blocked n=20000, m=20000: 1174ms (2598.742433 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  494ms (6182.841481 MiB/s)
             transpose_blocked n=20000, m=20000: 1176ms (2594.582073 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  508ms (6004.229683 MiB/s)
             transpose_blocked n=20000, m=20000: 1176ms (2594.906380 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  516ms (5910.582394 MiB/s)
             transpose_blocked n=20000, m=20000: 1175ms (2596.186750 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  508ms (6011.882512 MiB/s)
             transpose_blocked n=20000, m=20000: 1174ms (2600.201602 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  495ms (6162.216903 MiB/s)
             transpose_blocked n=20000, m=20000: 1176ms (2595.632504 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  490ms (6223.999813 MiB/s)
             transpose_blocked n=20000, m=20000: 1176ms (2595.652373 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  488ms (6252.179960 MiB/s)
             transpose_blocked n=20000, m=20000: 1177ms (2593.589800 MiB/s)
    transpose_blocked_parallel n=20000, m=20000:  492ms (6196.626129 MiB/s)
             transpose_blocked n=20000, m=20000: 1301ms (2345.993746 MiB/s)
